kecamatan,wilayah_kota,target_perkecamatan,target_harian_perkecamatan,date,Cakupan Suntik 1,Keterangan,Cakupan Suntik 2
Kelapa Gading,Jakarta Utara,119285,1114,29 June 2021,3332,Tercapai,17
Johar Baru,Jakarta Pusat,114661,1102,29 June 2021,1282,Tercapai,3
Senen,Jakarta Pusat,104180,1099,29 June 2021,1802,Tercapai,29
Setia Budi,Jakarta Selatan,96032,1019,29 June 2021,2504,Tercapai,10
Cempaka Putih,Jakarta Pusat,82144,893,29 June 2021,1214,Tercapai,9
Gambir,Jakarta Pusat,79504,879,29 June 2021,3169,Tercapai,73
Menteng,Jakarta Pusat,73752,770,29 June 2021,1359,Tercapai,9
Kep. Seribu Utara,Kepulauan Seribu,13038,122,29 June 2021,44,Tidak Tercapai,2
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,29 June 2021,46,Tidak Tercapai,7
Cakung,Jakarta Timur,451298,5333,30 June 2021,1960,Tidak Tercapai,27
Cengkareng,Jakarta Barat,456111,5041,30 June 2021,3262,Tidak Tercapai,16
Kali Deres,Jakarta Barat,356818,4295,30 June 2021,4371,Tercapai,25
Cilincing,Jakarta Utara,340707,4073,30 June 2021,4126,Tercapai,24
Duren Sawit,Jakarta Timur,358527,4006,30 June 2021,2495,Tidak Tercapai,61
Tanjung Priok,Jakarta Utara,333750,3728,30 June 2021,5199,Tercapai,76
Jagakarsa,Jakarta Selatan,291101,3291,30 June 2021,3331,Tercapai,24
Kebon Jeruk,Jakarta Barat,290818,3285,30 June 2021,3732,Tercapai,15
Koja,Jakarta Utara,270619,3253,30 June 2021,3448,Tercapai,21
Kebayoran Lama,Jakarta Selatan,266485,3018,30 June 2021,1673,Tidak Tercapai,36
Jatinegara,Jakarta Timur,262190,3010,30 June 2021,3445,Tercapai,58
Kramat Jati,Jakarta Timur,252661,2939,30 June 2021,3508,Tercapai,97
Pasar Minggu,Jakarta Selatan,266638,2937,30 June 2021,2595,Tidak Tercapai,51
Penjaringan,Jakarta Utara,259380,2860,30 June 2021,5903,Tercapai,44
Ciracas,Jakarta Timur,252861,2800,30 June 2021,2245,Tidak Tercapai,22
Pulo Gadung,Jakarta Timur,250436,2779,30 June 2021,3996,Tercapai,27
Kembangan,Jakarta Barat,243825,2686,30 June 2021,1748,Tidak Tercapai,20
Cipayung,Jakarta Timur,232520,2658,30 June 2021,7096,Tercapai,96
Tambora,Jakarta Barat,221310,2565,30 June 2021,1884,Tidak Tercapai,16
Pesanggrahan,Jakarta Selatan,212090,2378,30 June 2021,2938,Tercapai,41
Kemayoran,Jakarta Pusat,206657,2364,30 June 2021,5287,Tercapai,14
Tebet,Jakarta Selatan,196217,2177,30 June 2021,2369,Tercapai,39
Grogol Petamburan,Jakarta Barat,196274,2095,30 June 2021,2716,Tercapai,35
Palmerah,Jakarta Barat,186632,2077,30 June 2021,1809,Tidak Tercapai,44
Pasar Rebo,Jakarta Timur,187522,2071,30 June 2021,2751,Tercapai,57
Cilandak,Jakarta Selatan,184665,2047,30 June 2021,4535,Tercapai,21
Makasar,Jakarta Timur,178873,1927,30 June 2021,2799,Tercapai,241
Matraman,Jakarta Timur,154999,1745,30 June 2021,3231,Tercapai,25
Tanah Abang,Jakarta Pusat,142258,1647,30 June 2021,1363,Tidak Tercapai,2
Pancoran,Jakarta Selatan,142268,1612,30 June 2021,3783,Tercapai,23
Pademangan,Jakarta Utara,135923,1492,30 June 2021,1345,Tidak Tercapai,19
Mampang Prapatan,Jakarta Selatan,128433,1483,30 June 2021,981,Tidak Tercapai,59
Kebayoran Baru,Jakarta Selatan,129072,1342,30 June 2021,7685,Tercapai,252
Taman Sari,Jakarta Barat,107037,1149,30 June 2021,1544,Tercapai,22
Sawah Besar,Jakarta Pusat,102381,1120,30 June 2021,2602,Tercapai,41
Kelapa Gading,Jakarta Utara,119285,1114,30 June 2021,2807,Tercapai,30
Johar Baru,Jakarta Pusat,114661,1102,30 June 2021,1592,Tercapai,15
Senen,Jakarta Pusat,104180,1099,30 June 2021,2019,Tercapai,76
Setia Budi,Jakarta Selatan,96032,1019,30 June 2021,2341,Tercapai,7
Cempaka Putih,Jakarta Pusat,82144,893,30 June 2021,1105,Tercapai,31
Gambir,Jakarta Pusat,79504,879,30 June 2021,2989,Tercapai,193
Menteng,Jakarta Pusat,73752,770,30 June 2021,1845,Tercapai,17
Kep. Seribu Utara,Kepulauan Seribu,13038,122,30 June 2021,93,Tidak Tercapai,3
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,30 June 2021,74,Tidak Tercapai,1
Cakung,Jakarta Timur,451298,5333,1 July 2021,973,Tidak Tercapai,18
Cengkareng,Jakarta Barat,456111,5041,1 July 2021,2892,Tidak Tercapai,13
Kali Deres,Jakarta Barat,356818,4295,1 July 2021,2264,Tidak Tercapai,12
Cilincing,Jakarta Utara,340707,4073,1 July 2021,1277,Tidak Tercapai,5
Duren Sawit,Jakarta Timur,358527,4006,1 July 2021,2928,Tidak Tercapai,33
Tanjung Priok,Jakarta Utara,333750,3728,1 July 2021,5564,Tercapai,88
Jagakarsa,Jakarta Selatan,291101,3291,1 July 2021,2849,Tidak Tercapai,26
Kebon Jeruk,Jakarta Barat,290818,3285,1 July 2021,2591,Tidak Tercapai,19
Koja,Jakarta Utara,270619,3253,1 July 2021,2066,Tidak Tercapai,15
Kebayoran Lama,Jakarta Selatan,266485,3018,1 July 2021,1402,Tidak Tercapai,284
Jatinegara,Jakarta Timur,262190,3010,1 July 2021,2099,Tidak Tercapai,30
Kramat Jati,Jakarta Timur,252661,2939,1 July 2021,2831,Tidak Tercapai,78
Pasar Minggu,Jakarta Selatan,266638,2937,1 July 2021,2252,Tidak Tercapai,66
Penjaringan,Jakarta Utara,259380,2860,1 July 2021,4920,Tercapai,14
Ciracas,Jakarta Timur,252861,2800,1 July 2021,1795,Tidak Tercapai,16
Pulo Gadung,Jakarta Timur,250436,2779,1 July 2021,3304,Tercapai,41
Kembangan,Jakarta Barat,243825,2686,1 July 2021,1844,Tidak Tercapai,19
Cipayung,Jakarta Timur,232520,2658,1 July 2021,4146,Tercapai,68
Tambora,Jakarta Barat,221310,2565,1 July 2021,1243,Tidak Tercapai,12
Pesanggrahan,Jakarta Selatan,212090,2378,1 July 2021,3185,Tercapai,24
Kemayoran,Jakarta Pusat,206657,2364,1 July 2021,4122,Tercapai,9
Tebet,Jakarta Selatan,196217,2177,1 July 2021,1769,Tidak Tercapai,22
Grogol Petamburan,Jakarta Barat,196274,2095,1 July 2021,1987,Tidak Tercapai,28
Palmerah,Jakarta Barat,186632,2077,1 July 2021,1755,Tidak Tercapai,45
Pasar Rebo,Jakarta Timur,187522,2071,1 July 2021,2741,Tercapai,48
Cilandak,Jakarta Selatan,184665,2047,1 July 2021,2925,Tercapai,31
Makasar,Jakarta Timur,178873,1927,1 July 2021,1613,Tidak Tercapai,66
Matraman,Jakarta Timur,154999,1745,1 July 2021,3460,Tercapai,28
Tanah Abang,Jakarta Pusat,142258,1647,1 July 2021,1414,Tidak Tercapai,19
Pancoran,Jakarta Selatan,142268,1612,1 July 2021,2390,Tercapai,19
Pademangan,Jakarta Utara,135923,1492,1 July 2021,942,Tidak Tercapai,3
Mampang Prapatan,Jakarta Selatan,128433,1483,1 July 2021,667,Tidak Tercapai,13
Kebayoran Baru,Jakarta Selatan,129072,1342,1 July 2021,7243,Tercapai,303
Taman Sari,Jakarta Barat,107037,1149,1 July 2021,1986,Tercapai,5
Sawah Besar,Jakarta Pusat,102381,1120,1 July 2021,2228,Tercapai,26
Kelapa Gading,Jakarta Utara,119285,1114,1 July 2021,2390,Tercapai,19
Johar Baru,Jakarta Pusat,114661,1102,1 July 2021,1795,Tercapai,30
Senen,Jakarta Pusat,104180,1099,1 July 2021,1671,Tercapai,44
Setia Budi,Jakarta Selatan,96032,1019,1 July 2021,2063,Tercapai,43
Cempaka Putih,Jakarta Pusat,82144,893,1 July 2021,1217,Tercapai,9
Gambir,Jakarta Pusat,79504,879,1 July 2021,1790,Tercapai,225
Menteng,Jakarta Pusat,73752,770,1 July 2021,1684,Tercapai,20
Kep. Seribu Utara,Kepulauan Seribu,13038,122,1 July 2021,33,Tidak Tercapai,5
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,1 July 2021,12,Tidak Tercapai,1
Cakung,Jakarta Timur,451298,5333,2 July 2021,891,Tidak Tercapai,33
Cengkareng,Jakarta Barat,456111,5041,2 July 2021,2233,Tidak Tercapai,15
Kali Deres,Jakarta Barat,356818,4295,2 July 2021,1919,Tidak Tercapai,8
Cilincing,Jakarta Utara,340707,4073,2 July 2021,2107,Tidak Tercapai,9
Duren Sawit,Jakarta Timur,358527,4006,2 July 2021,2088,Tidak Tercapai,54
Tanjung Priok,Jakarta Utara,333750,3728,2 July 2021,3557,Tidak Tercapai,18
Jagakarsa,Jakarta Selatan,291101,3291,2 July 2021,1764,Tidak Tercapai,17
Kebon Jeruk,Jakarta Barat,290818,3285,2 July 2021,1730,Tidak Tercapai,22
Koja,Jakarta Utara,270619,3253,2 July 2021,1534,Tidak Tercapai,22
Kebayoran Lama,Jakarta Selatan,266485,3018,2 July 2021,879,Tidak Tercapai,55
Jatinegara,Jakarta Timur,262190,3010,2 July 2021,1762,Tidak Tercapai,29
Kramat Jati,Jakarta Timur,252661,2939,2 July 2021,1282,Tidak Tercapai,63
Pasar Minggu,Jakarta Selatan,266638,2937,2 July 2021,1505,Tidak Tercapai,56
Penjaringan,Jakarta Utara,259380,2860,2 July 2021,3144,Tercapai,12
Ciracas,Jakarta Timur,252861,2800,2 July 2021,1350,Tidak Tercapai,8
Pulo Gadung,Jakarta Timur,250436,2779,2 July 2021,2401,Tidak Tercapai,75
Kembangan,Jakarta Barat,243825,2686,2 July 2021,1529,Tidak Tercapai,25
Cipayung,Jakarta Timur,232520,2658,2 July 2021,2845,Tercapai,35
Tambora,Jakarta Barat,221310,2565,2 July 2021,1032,Tidak Tercapai,16
Pesanggrahan,Jakarta Selatan,212090,2378,2 July 2021,2721,Tercapai,19
Kemayoran,Jakarta Pusat,206657,2364,2 July 2021,2511,Tercapai,15
Tebet,Jakarta Selatan,196217,2177,2 July 2021,1648,Tidak Tercapai,31
Grogol Petamburan,Jakarta Barat,196274,2095,2 July 2021,1508,Tidak Tercapai,23
Palmerah,Jakarta Barat,186632,2077,2 July 2021,1175,Tidak Tercapai,21
Pasar Rebo,Jakarta Timur,187522,2071,2 July 2021,1990,Tidak Tercapai,44
Cilandak,Jakarta Selatan,184665,2047,2 July 2021,2526,Tercapai,23
Makasar,Jakarta Timur,178873,1927,2 July 2021,1542,Tidak Tercapai,22
Matraman,Jakarta Timur,154999,1745,2 July 2021,2300,Tercapai,10
Tanah Abang,Jakarta Pusat,142258,1647,2 July 2021,924,Tidak Tercapai,21
Pancoran,Jakarta Selatan,142268,1612,2 July 2021,1922,Tercapai,7
Pademangan,Jakarta Utara,135923,1492,2 July 2021,928,Tidak Tercapai,14
Mampang Prapatan,Jakarta Selatan,128433,1483,2 July 2021,554,Tidak Tercapai,18
Kebayoran Baru,Jakarta Selatan,129072,1342,2 July 2021,4573,Tercapai,240
Taman Sari,Jakarta Barat,107037,1149,2 July 2021,1307,Tercapai,4
Sawah Besar,Jakarta Pusat,102381,1120,2 July 2021,1832,Tercapai,39
Kelapa Gading,Jakarta Utara,119285,1114,2 July 2021,1684,Tercapai,19
Johar Baru,Jakarta Pusat,114661,1102,2 July 2021,1803,Tercapai,8
Senen,Jakarta Pusat,104180,1099,2 July 2021,1227,Tercapai,23
Setia Budi,Jakarta Selatan,96032,1019,2 July 2021,1463,Tercapai,6
Cempaka Putih,Jakarta Pusat,82144,893,2 July 2021,739,Tidak Tercapai,22
Gambir,Jakarta Pusat,79504,879,2 July 2021,685,Tidak Tercapai,23
Menteng,Jakarta Pusat,73752,770,2 July 2021,988,Tercapai,13
Kep. Seribu Utara,Kepulauan Seribu,13038,122,2 July 2021,38,Tidak Tercapai,2
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,2 July 2021,17,Tidak Tercapai,0
Cakung,Jakarta Timur,451298,5333,3 July 2021,1133,Tidak Tercapai,38.124
Cengkareng,Jakarta Barat,456111,5041,3 July 2021,2513,Tidak Tercapai,47.759
Kali Deres,Jakarta Barat,356818,4295,3 July 2021,1511,Tidak Tercapai,23.576
Cilincing,Jakarta Utara,340707,4073,3 July 2021,4729,Tercapai,22.56
Duren Sawit,Jakarta Timur,358527,4006,3 July 2021,1636,Tidak Tercapai,29.739
Tanjung Priok,Jakarta Utara,333750,3728,3 July 2021,7027,Tercapai,52.912
Jagakarsa,Jakarta Selatan,291101,3291,3 July 2021,2518,Tidak Tercapai,21.601
Kebon Jeruk,Jakarta Barat,290818,3285,3 July 2021,1288,Tidak Tercapai,38.564
Koja,Jakarta Utara,270619,3253,3 July 2021,4182,Tercapai,23.6
Kebayoran Lama,Jakarta Selatan,266485,3018,3 July 2021,2045,Tidak Tercapai,42.107
Jatinegara,Jakarta Timur,262190,3010,3 July 2021,1955,Tidak Tercapai,37.808
Kramat Jati,Jakarta Timur,252661,2939,3 July 2021,2737,Tidak Tercapai,38.074
Pasar Minggu,Jakarta Selatan,266638,2937,3 July 2021,1565,Tidak Tercapai,28.341
Penjaringan,Jakarta Utara,259380,2860,3 July 2021,6444,Tercapai,47.004
Ciracas,Jakarta Timur,252861,2800,3 July 2021,2186,Tidak Tercapai,21.232
Pulo Gadung,Jakarta Timur,250436,2779,3 July 2021,1656,Tidak Tercapai,31.616
Kembangan,Jakarta Barat,243825,2686,3 July 2021,4205,Tercapai,33.866
Cipayung,Jakarta Timur,232520,2658,3 July 2021,2685,Tercapai,52.123
Tambora,Jakarta Barat,221310,2565,3 July 2021,1128,Tidak Tercapai,16.819
Pesanggrahan,Jakarta Selatan,212090,2378,3 July 2021,5166,Tercapai,19.657
Kemayoran,Jakarta Pusat,206657,2364,3 July 2021,4205,Tercapai,53.782
Tebet,Jakarta Selatan,196217,2177,3 July 2021,1196,Tidak Tercapai,28.52
Grogol Petamburan,Jakarta Barat,196274,2095,3 July 2021,2609,Tercapai,38.254
Palmerah,Jakarta Barat,186632,2077,3 July 2021,1579,Tidak Tercapai,158.039
Pasar Rebo,Jakarta Timur,187522,2071,3 July 2021,4647,Tercapai,22.642
Cilandak,Jakarta Selatan,184665,2047,3 July 2021,2191,Tercapai,39.008
Makasar,Jakarta Timur,178873,1927,3 July 2021,3268,Tercapai,46.016
Matraman,Jakarta Timur,154999,1745,3 July 2021,7792,Tercapai,19.183
Tanah Abang,Jakarta Pusat,142258,1647,3 July 2021,750,Tidak Tercapai,115.676
Pancoran,Jakarta Selatan,142268,1612,3 July 2021,4648,Tercapai,16.96
Pademangan,Jakarta Utara,135923,1492,3 July 2021,2386,Tercapai,50.76
Mampang Prapatan,Jakarta Selatan,128433,1483,3 July 2021,742,Tidak Tercapai,29.971
Kebayoran Baru,Jakarta Selatan,129072,1342,3 July 2021,7939,Tercapai,220.952
Taman Sari,Jakarta Barat,107037,1149,3 July 2021,704,Tidak Tercapai,16.937
Sawah Besar,Jakarta Pusat,102381,1120,3 July 2021,2673,Tercapai,23.416
Kelapa Gading,Jakarta Utara,119285,1114,3 July 2021,2774,Tercapai,42.612
Johar Baru,Jakarta Pusat,114661,1102,3 July 2021,3615,Tercapai,15.649
Senen,Jakarta Pusat,104180,1099,3 July 2021,2264,Tercapai,58.434
Setia Budi,Jakarta Selatan,96032,1019,3 July 2021,1685,Tercapai,67.465
Cempaka Putih,Jakarta Pusat,82144,893,3 July 2021,521,Tidak Tercapai,18.452
Gambir,Jakarta Pusat,79504,879,3 July 2021,2136,Tercapai,108.949
Menteng,Jakarta Pusat,73752,770,3 July 2021,2148,Tercapai,33.242
Kep. Seribu Utara,Kepulauan Seribu,13038,122,3 July 2021,59,Tidak Tercapai,3.037
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,3 July 2021,336,Tercapai,2.985
Cakung,Jakarta Timur,451298,5333,4 July 2021,2,Tidak Tercapai,1
Cengkareng,Jakarta Barat,456111,5041,4 July 2021,0,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,4 July 2021,80,Tidak Tercapai,0
Cilincing,Jakarta Utara,340707,4073,4 July 2021,639,Tidak Tercapai,3
Duren Sawit,Jakarta Timur,358527,4006,4 July 2021,251,Tidak Tercapai,0
Tanjung Priok,Jakarta Utara,333750,3728,4 July 2021,335,Tidak Tercapai,2
Jagakarsa,Jakarta Selatan,291101,3291,4 July 2021,205,Tidak Tercapai,0
Kebon Jeruk,Jakarta Barat,290818,3285,4 July 2021,3,Tidak Tercapai,0
Koja,Jakarta Utara,270619,3253,4 July 2021,1133,Tidak Tercapai,3
Kebayoran Lama,Jakarta Selatan,266485,3018,4 July 2021,664,Tidak Tercapai,2
Jatinegara,Jakarta Timur,262190,3010,4 July 2021,1217,Tidak Tercapai,1
Kramat Jati,Jakarta Timur,252661,2939,4 July 2021,832,Tidak Tercapai,1
Pasar Minggu,Jakarta Selatan,266638,2937,4 July 2021,9,Tidak Tercapai,0
Penjaringan,Jakarta Utara,259380,2860,4 July 2021,948,Tidak Tercapai,1
Ciracas,Jakarta Timur,252861,2800,4 July 2021,86,Tidak Tercapai,1
Pulo Gadung,Jakarta Timur,250436,2779,4 July 2021,0,Tidak Tercapai,0
Kembangan,Jakarta Barat,243825,2686,4 July 2021,1425,Tidak Tercapai,3
Cipayung,Jakarta Timur,232520,2658,4 July 2021,1062,Tidak Tercapai,0
Tambora,Jakarta Barat,221310,2565,4 July 2021,32,Tidak Tercapai,1
Pesanggrahan,Jakarta Selatan,212090,2378,4 July 2021,188,Tidak Tercapai,1
Kemayoran,Jakarta Pusat,206657,2364,4 July 2021,356,Tidak Tercapai,2
Tebet,Jakarta Selatan,196217,2177,4 July 2021,387,Tidak Tercapai,1
Grogol Petamburan,Jakarta Barat,196274,2095,4 July 2021,655,Tidak Tercapai,7
Palmerah,Jakarta Barat,186632,2077,4 July 2021,437,Tidak Tercapai,2
Pasar Rebo,Jakarta Timur,187522,2071,4 July 2021,2386,Tercapai,5
Cilandak,Jakarta Selatan,184665,2047,4 July 2021,13,Tidak Tercapai,5
Makasar,Jakarta Timur,178873,1927,4 July 2021,1079,Tidak Tercapai,5
Matraman,Jakarta Timur,154999,1745,4 July 2021,5545,Tercapai,8
Tanah Abang,Jakarta Pusat,142258,1647,4 July 2021,448,Tidak Tercapai,3
Pancoran,Jakarta Selatan,142268,1612,4 July 2021,2,Tidak Tercapai,0
Pademangan,Jakarta Utara,135923,1492,4 July 2021,374,Tidak Tercapai,0
Mampang Prapatan,Jakarta Selatan,128433,1483,4 July 2021,0,Tidak Tercapai,1
Kebayoran Baru,Jakarta Selatan,129072,1342,4 July 2021,1612,Tercapai,60
Taman Sari,Jakarta Barat,107037,1149,4 July 2021,0,Tidak Tercapai,2
Sawah Besar,Jakarta Pusat,102381,1120,4 July 2021,79,Tidak Tercapai,0
Kelapa Gading,Jakarta Utara,119285,1114,4 July 2021,44,Tidak Tercapai,3
Johar Baru,Jakarta Pusat,114661,1102,4 July 2021,781,Tidak Tercapai,2
Senen,Jakarta Pusat,104180,1099,4 July 2021,144,Tidak Tercapai,0
Setia Budi,Jakarta Selatan,96032,1019,4 July 2021,13,Tidak Tercapai,0
Cempaka Putih,Jakarta Pusat,82144,893,4 July 2021,0,Tidak Tercapai,0
Gambir,Jakarta Pusat,79504,879,4 July 2021,549,Tidak Tercapai,9
Menteng,Jakarta Pusat,73752,770,4 July 2021,654,Tidak Tercapai,0
Kep. Seribu Utara,Kepulauan Seribu,13038,122,4 July 2021,0,Tidak Tercapai,0
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,4 July 2021,0,Tidak Tercapai,0
Cakung,Jakarta Timur,451298,5333,5 July 2021,1895,Tidak Tercapai,703
Cengkareng,Jakarta Barat,456111,5041,5 July 2021,2413,Tidak Tercapai,1523
Kali Deres,Jakarta Barat,356818,4295,5 July 2021,2308,Tidak Tercapai,528
Cilincing,Jakarta Utara,340707,4073,5 July 2021,1949,Tidak Tercapai,834
Duren Sawit,Jakarta Timur,358527,4006,5 July 2021,1500,Tidak Tercapai,1455
Tanjung Priok,Jakarta Utara,333750,3728,5 July 2021,4594,Tercapai,4785
Jagakarsa,Jakarta Selatan,291101,3291,5 July 2021,2844,Tidak Tercapai,810
Kebon Jeruk,Jakarta Barat,290818,3285,5 July 2021,1339,Tidak Tercapai,614
Koja,Jakarta Utara,270619,3253,5 July 2021,2125,Tidak Tercapai,1235
Kebayoran Lama,Jakarta Selatan,266485,3018,5 July 2021,882,Tidak Tercapai,1235
Jatinegara,Jakarta Timur,262190,3010,5 July 2021,1823,Tidak Tercapai,1604
Kramat Jati,Jakarta Timur,252661,2939,5 July 2021,2225,Tidak Tercapai,5979
Pasar Minggu,Jakarta Selatan,266638,2937,5 July 2021,1537,Tidak Tercapai,1506
Penjaringan,Jakarta Utara,259380,2860,5 July 2021,2682,Tidak Tercapai,1135
Ciracas,Jakarta Timur,252861,2800,5 July 2021,1313,Tidak Tercapai,1520
Pulo Gadung,Jakarta Timur,250436,2779,5 July 2021,1693,Tidak Tercapai,3265
Kembangan,Jakarta Barat,243825,2686,5 July 2021,1730,Tidak Tercapai,874
Cipayung,Jakarta Timur,232520,2658,5 July 2021,1980,Tidak Tercapai,11948
Tambora,Jakarta Barat,221310,2565,5 July 2021,1167,Tidak Tercapai,1144
Pesanggrahan,Jakarta Selatan,212090,2378,5 July 2021,1607,Tidak Tercapai,2050
Kemayoran,Jakarta Pusat,206657,2364,5 July 2021,2195,Tidak Tercapai,2102
Tebet,Jakarta Selatan,196217,2177,5 July 2021,1009,Tidak Tercapai,1100
Grogol Petamburan,Jakarta Barat,196274,2095,5 July 2021,1228,Tidak Tercapai,1642
Palmerah,Jakarta Barat,186632,2077,5 July 2021,1537,Tidak Tercapai,2562
Pasar Rebo,Jakarta Timur,187522,2071,5 July 2021,2097,Tercapai,3297
Cilandak,Jakarta Selatan,184665,2047,5 July 2021,2059,Tercapai,1241
Makasar,Jakarta Timur,178873,1927,5 July 2021,2547,Tercapai,6158
Matraman,Jakarta Timur,154999,1745,5 July 2021,2951,Tercapai,1794
Tanah Abang,Jakarta Pusat,142258,1647,5 July 2021,2239,Tercapai,10015
Pancoran,Jakarta Selatan,142268,1612,5 July 2021,1953,Tercapai,1399
Pademangan,Jakarta Utara,135923,1492,5 July 2021,1357,Tidak Tercapai,1140
Mampang Prapatan,Jakarta Selatan,128433,1483,5 July 2021,977,Tidak Tercapai,869
Kebayoran Baru,Jakarta Selatan,129072,1342,5 July 2021,7022,Tercapai,17855
Taman Sari,Jakarta Barat,107037,1149,5 July 2021,472,Tidak Tercapai,651
Sawah Besar,Jakarta Pusat,102381,1120,5 July 2021,1889,Tercapai,1212
Kelapa Gading,Jakarta Utara,119285,1114,5 July 2021,1732,Tercapai,868
Johar Baru,Jakarta Pusat,114661,1102,5 July 2021,1260,Tercapai,901
Senen,Jakarta Pusat,104180,1099,5 July 2021,1750,Tercapai,6263
Setia Budi,Jakarta Selatan,96032,1019,5 July 2021,1067,Tercapai,6357
Cempaka Putih,Jakarta Pusat,82144,893,5 July 2021,1073,Tercapai,1095
Gambir,Jakarta Pusat,79504,879,5 July 2021,1188,Tercapai,6975
Menteng,Jakarta Pusat,73752,770,5 July 2021,830,Tercapai,2046
Kep. Seribu Utara,Kepulauan Seribu,13038,122,5 July 2021,71,Tidak Tercapai,155
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,5 July 2021,173,Tercapai,66
Cakung,Jakarta Timur,451298,5333,6 July 2021,3366,Tidak Tercapai,18
Cengkareng,Jakarta Barat,456111,5041,6 July 2021,4049,Tidak Tercapai,8
Kali Deres,Jakarta Barat,356818,4295,6 July 2021,4389,Tercapai,27
Cilincing,Jakarta Utara,340707,4073,6 July 2021,5196,Tercapai,24
Duren Sawit,Jakarta Timur,358527,4006,6 July 2021,2830,Tidak Tercapai,62
Tanjung Priok,Jakarta Utara,333750,3728,6 July 2021,9078,Tercapai,352
Jagakarsa,Jakarta Selatan,291101,3291,6 July 2021,4960,Tercapai,30
Kebon Jeruk,Jakarta Barat,290818,3285,6 July 2021,2425,Tidak Tercapai,69
Koja,Jakarta Utara,270619,3253,6 July 2021,5992,Tercapai,37
Kebayoran Lama,Jakarta Selatan,266485,3018,6 July 2021,2419,Tidak Tercapai,498
Jatinegara,Jakarta Timur,262190,3010,6 July 2021,3337,Tercapai,43
Kramat Jati,Jakarta Timur,252661,2939,6 July 2021,3562,Tercapai,157
Pasar Minggu,Jakarta Selatan,266638,2937,6 July 2021,2731,Tidak Tercapai,94
Penjaringan,Jakarta Utara,259380,2860,6 July 2021,5112,Tercapai,31
Ciracas,Jakarta Timur,252861,2800,6 July 2021,2722,Tidak Tercapai,28
Pulo Gadung,Jakarta Timur,250436,2779,6 July 2021,3503,Tercapai,84
Kembangan,Jakarta Barat,243825,2686,6 July 2021,2995,Tercapai,30
Cipayung,Jakarta Timur,232520,2658,6 July 2021,2554,Tidak Tercapai,84
Tambora,Jakarta Barat,221310,2565,6 July 2021,2024,Tidak Tercapai,16
Pesanggrahan,Jakarta Selatan,212090,2378,6 July 2021,4386,Tercapai,39
Kemayoran,Jakarta Pusat,206657,2364,6 July 2021,4747,Tercapai,29
Tebet,Jakarta Selatan,196217,2177,6 July 2021,2067,Tidak Tercapai,40
Grogol Petamburan,Jakarta Barat,196274,2095,6 July 2021,2598,Tercapai,27
Palmerah,Jakarta Barat,186632,2077,6 July 2021,3739,Tercapai,40
Pasar Rebo,Jakarta Timur,187522,2071,6 July 2021,4009,Tercapai,70
Cilandak,Jakarta Selatan,184665,2047,6 July 2021,3824,Tercapai,58
Makasar,Jakarta Timur,178873,1927,6 July 2021,5626,Tercapai,47
Matraman,Jakarta Timur,154999,1745,6 July 2021,8530,Tercapai,63
Tanah Abang,Jakarta Pusat,142258,1647,6 July 2021,5227,Tercapai,349
Pancoran,Jakarta Selatan,142268,1612,6 July 2021,3160,Tercapai,28
Pademangan,Jakarta Utara,135923,1492,6 July 2021,3515,Tercapai,18
Mampang Prapatan,Jakarta Selatan,128433,1483,6 July 2021,1685,Tercapai,21
Kebayoran Baru,Jakarta Selatan,129072,1342,6 July 2021,12653,Tercapai,704
Taman Sari,Jakarta Barat,107037,1149,6 July 2021,813,Tidak Tercapai,4
Sawah Besar,Jakarta Pusat,102381,1120,6 July 2021,2864,Tercapai,65
Kelapa Gading,Jakarta Utara,119285,1114,6 July 2021,4313,Tercapai,33
Johar Baru,Jakarta Pusat,114661,1102,6 July 2021,3568,Tercapai,29
Senen,Jakarta Pusat,104180,1099,6 July 2021,2450,Tercapai,92
Setia Budi,Jakarta Selatan,96032,1019,6 July 2021,1507,Tercapai,49
Cempaka Putih,Jakarta Pusat,82144,893,6 July 2021,1535,Tercapai,16
Gambir,Jakarta Pusat,79504,879,6 July 2021,1727,Tercapai,62
Menteng,Jakarta Pusat,73752,770,6 July 2021,1745,Tercapai,22
Kep. Seribu Utara,Kepulauan Seribu,13038,122,6 July 2021,440,Tercapai,4
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,6 July 2021,316,Tercapai,7
Cakung,Jakarta Timur,451298,5333,7 July 2021,1359,Tidak Tercapai,22
Cengkareng,Jakarta Barat,456111,5041,7 July 2021,1780,Tidak Tercapai,2
Kali Deres,Jakarta Barat,356818,4295,7 July 2021,1841,Tidak Tercapai,7
Cilincing,Jakarta Utara,340707,4073,7 July 2021,2161,Tidak Tercapai,5
Duren Sawit,Jakarta Timur,358527,4006,7 July 2021,1480,Tidak Tercapai,14
Tanjung Priok,Jakarta Utara,333750,3728,7 July 2021,4828,Tercapai,66
